titulo,id,url,visto
"El asesino mediático",81461539,"https://www.netflix.com/watch/81461539",
"El astronauta",81301595,"https://www.netflix.com/watch/81301595",
"El bizarro hostal de Kian84",81902047,"https://www.netflix.com/watch/81902047",
"El bosque sangriento: La serie",80233251,"https://www.netflix.com/watch/80233251",
"El camino hacia El Dorado",60000171,"https://www.netflix.com/watch/60000171",
"El Camino: Una película de Breaking Bad",81078819,"https://www.netflix.com/watch/81078819",
"El clímax del millón: La historia de Pornhub",81406118,"https://www.netflix.com/watch/81406118",
"El club de la medianoche",81112336,"https://www.netflix.com/watch/81112336",
"El código de la discordia",81074012,"https://www.netflix.com/watch/81074012",
"El diablo en Ohio",81029704,"https://www.netflix.com/watch/81029704",
"El dilema de las redes sociales",81254224,"https://www.netflix.com/watch/81254224",
"El ejército de los ladrones",81185548,"https://www.netflix.com/watch/81185548",
"El ejército de los muertos",81046394,"https://www.netflix.com/watch/81046394",
"El Eternauta",80216888,"https://www.netflix.com/watch/80216888",
"El experimento fantasma",81306156,"https://www.netflix.com/watch/81306156",
"El Guau",81205652,"https://www.netflix.com/watch/81205652",
"El hombre más odiado de internet",81387065,"https://www.netflix.com/watch/81387065",
"El hoyo",81128579,"https://www.netflix.com/watch/81128579",
"El juego de la fortuna",70201437,"https://www.netflix.com/watch/70201437",
"El juego de las víctimas",81227121,"https://www.netflix.com/watch/81227121",
"El juego del calamar",81040344,"https://www.netflix.com/watch/81040344",
"El laberinto 2",81243747,"https://www.netflix.com/watch/81243747",
"El mañana y yo",81522263,"https://www.netflix.com/watch/81522263",
"El místico bar efímero",81264882,"https://www.netflix.com/watch/81264882",
"El mito de Sísifo",81397558,"https://www.netflix.com/watch/81397558",
"El monstruo de la vieja Seúl",81618079,"https://www.netflix.com/watch/81618079",
"El naufragio de una diva",81701128,"https://www.netflix.com/watch/81701128",
"El niño y la garza",81725555,"https://www.netflix.com/watch/81725555",
"El núcleo",60024918,"https://www.netflix.com/watch/60024918",
